time_stemp,temperature,humidity,fire_state
00:06:21,27.0,60.0,1.0
00:06:29,27.0,59.0,1.0
00:06:44,26.0,59.0,1.0
00:08:19,27.0,58.0,1.0
00:09:22,27.0,67.0,1.0
00:09:24,27.0,68.0,1.0
00:09:26,27.0,79.0,1.0
00:09:28,27.0,82.0,1.0
00:09:32,27.0,76.0,1.0
00:09:34,27.0,73.0,1.0
00:09:36,27.0,71.0,1.0
00:09:45,27.0,64.0,1.0
00:09:49,27.0,80.0,1.0
00:09:51,27.0,81.0,1.0
00:09:53,27.0,77.0,1.0
00:09:55,27.0,74.0,1.0
00:09:57,27.0,72.0,1.0
00:10:01,27.0,69.0,1.0
00:10:05,27.0,65.0,1.0
00:10:11,27.0,63.0,1.0
00:10:15,27.0,62.0,1.0
00:10:41,27.0,61.0,1.0
00:35:31,27.0,57.0,1.0
00:48:07,27.0,56.0,1.0
22:40:10,29.0,79.0,1.0
22:42:00,29.0,78.0,1.0
22:49:17,29.0,77.0,1.0
