time_stemp,temperature,humidity,fire_state
13:35:31,31.0,68.0,1.0
13:35:35,31.0,68.0,1.0
13:35:37,31.0,68.0,1.0
13:35:39,31.0,68.0,1.0
13:35:41,31.0,68.0,1.0
13:35:43,31.0,68.0,1.0
13:35:45,31.0,68.0,0.0
13:35:49,31.0,68.0,1.0
13:35:51,31.0,68.0,1.0
13:35:53,31.0,68.0,1.0
13:35:59,31.0,68.0,0.0
13:36:01,31.0,68.0,0.0
13:36:05,31.0,68.0,1.0
13:36:07,31.0,68.0,1.0
13:36:09,31.0,68.0,1.0
13:37:02,31.0,82.0,1.0
13:37:06,31.0,73.0,1.0
13:37:08,31.0,73.0,1.0
13:37:10,31.0,73.0,0.0
13:37:14,31.0,73.0,0.0
13:37:16,31.0,73.0,0.0
13:37:18,31.0,73.0,1.0
13:37:20,31.0,73.0,1.0
