time_stemp,temperature,humidity,fire_state
00:00:00,32.0,65.0,1.0
00:00:02,32.0,66.0,1.0
00:00:06,31.0,66.0,1.0
00:22:03,31.0,67.0,1.0
00:38:06,32.0,68.0,1.0
00:38:10,32.0,67.0,1.0
01:45:04,31.0,72.0,1.0
01:45:06,31.0,71.0,1.0
01:45:36,31.0,70.0,1.0
02:10:04,28.0,71.0,1.0
02:10:25,28.0,72.0,1.0
02:12:18,27.0,71.0,1.0
02:12:22,27.0,72.0,1.0
02:12:43,28.0,79.0,1.0
02:12:45,28.0,82.0,1.0
02:12:47,28.0,85.0,1.0
14:31:51,28.0,65.0,1.0
14:33:18,28.0,64.0,1.0
14:33:41,28.0,63.0,1.0
14:34:15,28.0,62.0,1.0
14:34:36,28.0,61.0,1.0
14:34:48,28.0,60.0,1.0
14:35:16,28.0,59.0,1.0
14:35:26,28.0,58.0,1.0
14:36:17,28.0,57.0,1.0
14:36:54,28.0,56.0,1.0
14:37:08,28.0,55.0,1.0
14:38:45,28.0,54.0,1.0
14:38:56,28.0,53.0,1.0
14:39:14,28.0,52.0,1.0
14:47:50,29.0,60.0,1.0
15:01:51,29.0,59.0,1.0
15:02:18,29.0,58.0,1.0
15:02:46,29.0,57.0,1.0
15:03:19,29.0,56.0,1.0
15:06:40,28.0,51.0,1.0
15:55:52,29.0,55.0,1.0
15:56:06,29.0,54.0,1.0
16:03:31,29.0,64.0,1.0
16:03:37,29.0,65.0,1.0
16:04:34,29.0,66.0,1.0
16:04:36,29.0,67.0,1.0
16:05:17,29.0,69.0,1.0
16:05:23,29.0,68.0,1.0
16:06:30,29.0,63.0,1.0
16:07:07,29.0,62.0,1.0
16:07:21,29.0,61.0,1.0
17:51:22,27.0,64.0,1.0
17:51:34,27.0,63.0,1.0
17:51:48,27.0,62.0,1.0
17:52:04,27.0,61.0,1.0
17:52:17,27.0,60.0,1.0
17:52:51,27.0,59.0,1.0
17:53:26,27.0,58.0,1.0
