time_stemp,temperature,humidity,fire_state
23:55:46,30.0,75.0,1.0
23:55:49,30.0,75.0,1.0
23:55:51,30.0,75.0,1.0
23:55:53,30.0,75.0,1.0
23:55:55,30.0,75.0,1.0
23:55:59,30.0,75.0,1.0
23:56:01,30.0,76.0,1.0
23:56:03,30.0,76.0,1.0
23:56:05,30.0,76.0,1.0
23:56:07,30.0,76.0,1.0
23:56:09,30.0,75.0,1.0
23:56:11,30.0,76.0,1.0
23:56:13,30.0,76.0,1.0
23:56:15,30.0,76.0,1.0
23:56:17,30.0,76.0,1.0
23:56:19,30.0,76.0,1.0
23:56:23,30.0,76.0,1.0
23:56:25,30.0,76.0,1.0
23:56:27,30.0,75.0,1.0
23:56:31,30.0,75.0,1.0
23:56:33,30.0,75.0,1.0
23:56:35,30.0,75.0,1.0
23:56:39,30.0,75.0,1.0
23:56:41,30.0,75.0,1.0
23:56:43,30.0,75.0,1.0
23:56:45,30.0,75.0,1.0
23:56:48,30.0,75.0,1.0
23:56:50,30.0,75.0,1.0
23:56:52,30.0,75.0,1.0
23:56:56,30.0,75.0,1.0
23:56:58,30.0,75.0,1.0
23:57:00,30.0,75.0,1.0
23:57:04,30.0,75.0,1.0
23:57:06,30.0,75.0,1.0
23:57:08,30.0,75.0,1.0
23:57:10,30.0,75.0,1.0
23:57:12,30.0,75.0,1.0
23:57:14,30.0,75.0,1.0
23:57:16,30.0,75.0,1.0
23:57:18,30.0,75.0,1.0
23:57:20,30.0,75.0,1.0
23:57:22,30.0,75.0,1.0
23:57:26,30.0,75.0,1.0
23:57:28,30.0,75.0,1.0
23:57:30,30.0,75.0,1.0
23:57:34,30.0,75.0,1.0
23:57:36,30.0,75.0,1.0
23:57:38,30.0,75.0,1.0
23:57:40,30.0,75.0,1.0
23:57:42,30.0,75.0,1.0
23:57:44,30.0,75.0,1.0
23:57:46,30.0,75.0,1.0
23:57:48,30.0,75.0,1.0
23:57:50,30.0,75.0,1.0
23:57:52,30.0,75.0,1.0
23:57:54,30.0,75.0,1.0
23:57:57,30.0,75.0,1.0
23:57:59,30.0,75.0,1.0
23:58:01,30.0,75.0,1.0
23:58:03,30.0,75.0,1.0
23:58:05,30.0,75.0,1.0
23:58:07,30.0,75.0,1.0
23:58:09,30.0,75.0,1.0
23:58:11,30.0,75.0,1.0
23:58:13,30.0,75.0,1.0
23:58:15,30.0,75.0,1.0
23:58:17,30.0,75.0,1.0
23:58:21,30.0,75.0,1.0
23:58:23,30.0,75.0,1.0
23:58:25,31.0,75.0,1.0
23:58:27,31.0,75.0,1.0
23:58:29,31.0,75.0,1.0
23:58:31,30.0,75.0,1.0
23:58:33,30.0,75.0,1.0
23:58:35,30.0,75.0,1.0
23:58:37,31.0,75.0,1.0
23:58:39,31.0,75.0,1.0
23:58:41,30.0,75.0,1.0
23:58:43,30.0,75.0,1.0
23:58:45,31.0,75.0,1.0
23:58:47,31.0,75.0,1.0
23:58:49,31.0,75.0,1.0
23:58:51,31.0,75.0,1.0
23:58:53,31.0,75.0,1.0
23:58:55,31.0,75.0,1.0
23:58:57,30.0,75.0,1.0
23:59:00,31.0,75.0,1.0
23:59:02,31.0,75.0,1.0
23:59:04,31.0,75.0,1.0
23:59:06,31.0,75.0,1.0
23:59:08,30.0,75.0,1.0
23:59:10,30.0,75.0,1.0
23:59:12,30.0,75.0,1.0
23:59:14,31.0,75.0,1.0
23:59:16,30.0,75.0,1.0
23:59:18,31.0,75.0,1.0
23:59:20,30.0,75.0,1.0
23:59:22,30.0,75.0,1.0
23:59:24,30.0,75.0,1.0
23:59:26,30.0,75.0,1.0
23:59:28,30.0,75.0,1.0
23:59:30,30.0,75.0,1.0
23:59:32,31.0,75.0,1.0
23:59:34,30.0,75.0,1.0
23:59:36,30.0,75.0,1.0
23:59:40,30.0,75.0,1.0
23:59:42,31.0,75.0,1.0
23:59:44,31.0,75.0,1.0
23:59:46,31.0,75.0,1.0
23:59:48,30.0,75.0,1.0
23:59:50,31.0,75.0,1.0
23:59:52,30.0,75.0,1.0
23:59:54,30.0,75.0,1.0
23:59:56,31.0,75.0,1.0
23:59:58,31.0,75.0,1.0
