time_stemp,temperature,humidity,fire_state
02:16:50,32.0,66.0,1.0
02:26:43,32.0,65.0,1.0
02:36:39,31.0,66.0,1.0
13:07:07,29.0,78.0,1.0
13:07:43,30.0,78.0,1.0
13:09:11,30.0,77.0,1.0
13:14:50,30.0,76.0,1.0
13:27:12,30.0,75.0,1.0
14:37:02,30.0,74.0,1.0
14:39:06,31.0,82.0,1.0
14:39:08,31.0,84.0,1.0
14:39:12,31.0,85.0,1.0
14:39:16,31.0,83.0,1.0
14:39:20,31.0,77.0,1.0
14:39:22,31.0,76.0,1.0
14:39:24,31.0,75.0,1.0
14:39:32,31.0,74.0,1.0
21:22:40,29.0,61.0,1.0
21:22:53,29.0,60.0,1.0
21:23:52,29.0,62.0,1.0
21:24:59,29.0,59.0,1.0
21:28:08,29.0,67.0,1.0
21:28:10,29.0,71.0,1.0
21:28:12,29.0,66.0,1.0
21:28:14,29.0,63.0,1.0
21:28:22,29.0,76.0,1.0
21:28:24,29.0,84.0,1.0
21:28:26,30.0,87.0,1.0
21:28:32,30.0,86.0,1.0
21:28:34,30.0,85.0,1.0
21:28:36,30.0,82.0,1.0
21:28:40,29.0,75.0,1.0
21:28:44,29.0,69.0,1.0
21:28:46,29.0,68.0,1.0
21:28:50,29.0,64.0,1.0
21:31:15,29.0,85.0,1.0
21:31:23,29.0,81.0,1.0
21:31:29,30.0,89.0,0.0
21:31:31,30.0,84.0,1.0
21:31:35,30.0,72.0,1.0
21:31:37,30.0,67.0,1.0
21:31:39,30.0,65.0,1.0
21:31:41,30.0,64.0,1.0
21:31:43,30.0,63.0,1.0
21:31:45,30.0,62.0,1.0
21:31:51,30.0,61.0,1.0
21:31:53,30.0,60.0,1.0
21:32:11,30.0,59.0,1.0
21:32:13,30.0,58.0,1.0
21:32:40,29.0,58.0,1.0
23:44:01,30.0,69.0,1.0
23:44:03,30.0,68.0,1.0
23:44:37,31.0,69.0,1.0
23:44:39,31.0,68.0,1.0
23:45:30,31.0,70.0,1.0
23:45:52,31.0,67.0,1.0
23:58:55,31.0,65.0,1.0
