time_stemp,temperature,humidity,fire_state
20250526_020438,25.7,67,0
20250526_020443,25.7,67,0
20250526_020448,25.7,66,0
20250526_020453,25.7,66,0
20250526_020458,25.8,66,0
20250526_020503,25.8,66,0
20250526_020508,25.8,66,0
20250526_020513,25.8,66,0
20250526_020518,25.8,66,0
