time_stemp,temperature,humidity,fire_state
174353,27.5,56,0
174358,27.5,55,0
174758,27.5,55,1
174800,27.3,51,1
174805,27.3,52,1
183551,27.3,59,1
183553,26.8,57,1
183632,26.9,58,1
183644,26.9,59,1
183646,27.0,59,1
183706,27.1,59,1
183843,27.1,59,1
183845,27.2,60,1
183905,27.3,60,1
183920,27.3,60,1
183943,27.3,60,1
183952,27.4,60,1
184006,27.4,60,1
184015,27.4,61,1
184024,27.4,61,1
184120,27.4,61,1
184133,27.4,62,1
184149,27.4,61,1
184223,27.5,61,1
184225,27.4,61,1
184229,27.5,61,1
184232,27.4,61,1
184252,27.4,60,1
184330,27.4,59,0
184355,27.4,58,0
184413,27.3,58,0
184415,27.4,58,0
184501,27.3,58,0
184505,27.2,56,0
184514,27.2,57,0
184521,27.2,56,0
184532,27.2,55,0
184546,27.1,55,0
184548,27.2,56,0
184550,27.1,55,0
184559,27.2,55,0
184602,27.1,55,0
184606,27.2,55,0
184611,27.2,56,0
184613,27.2,55,0
